ID	2L	2R
../pseudorefs/Dyak_2.8.1.fasta	SS	nn
../pseudorefs/Dyak_CY01A.fasta	SS	nn
../pseudorefs/Dyak_CY04B.fasta	SS	nn
../pseudorefs/Dyak_CY20A.fasta	SS	nn
../pseudorefs/Dyak_CY22B.fasta	SS	jj
../pseudorefs/Dyak_Jess.fasta	SS	jn
../pseudorefs/Dyak_NY73PB.fasta	II	jj
../pseudorefs/Dyak_SD10.fasta	SS	nn
../pseudorefs/Dyak_SD11.fasta	SS	jj
../pseudorefs/Dyak_SD12.fasta	IS	jj
../pseudorefs/Dyak_SD13.fasta	SS	jk
../pseudorefs/Dyak_SD14.fasta	II	jk
../pseudorefs/Dyak_SD15.fasta	SS	jk
../pseudorefs/Dyak_SD16.fasta	SS	kn
../pseudorefs/Dyak_SD17.fasta	SS	jn
../pseudorefs/Dyak_SD18.fasta	SS	nn
../pseudorefs/Dyak_SD19.fasta	SS	jn
../pseudorefs/Dyak_SD1.fasta	SS	jk
../pseudorefs/Dyak_SD20.fasta	IS	jk
../pseudorefs/Dyak_SD21.fasta	IS	jj
../pseudorefs/Dyak_SD22.fasta	IS	jk
../pseudorefs/Dyak_sd25.fasta	SS	jj
../pseudorefs/Dyak_sd26.fasta	SS	nn
../pseudorefs/Dyak_sd27.fasta	SS	nn
../pseudorefs/Dyak_sd28.fasta	SS	jj
../pseudorefs/Dyak_sd29.fasta	SS	jn
../pseudorefs/Dyak_SD2.fasta	SS	jn
../pseudorefs/Dyak_sd30.fasta	SS	jj
../pseudorefs/Dyak_sd31.fasta	SS	jn
../pseudorefs/Dyak_sd32.fasta	SS	jj
../pseudorefs/Dyak_SD3.fasta	SS	jj
../pseudorefs/Dyak_SD4.fasta	SS	nn
../pseudorefs/Dyak_SD5.fasta	SS	kn
../pseudorefs/Dyak_SD6.fasta	SS	jn
../pseudorefs/Dyak_SD7.fasta	SS	nn
../pseudorefs/Dyak_SD8.fasta	SS	jj
../pseudorefs/Dyak_SD9.fasta	SS	jn
../pseudorefs/Dyak_ST.fasta	SS	jj
../pseudorefs/Dyak_Tai18E2.fasta	SS	nn
../pseudorefs/Dyak_CY02B5.fasta	SS	kn
../pseudorefs/Dyak_CY08A.fasta	SS	jk
../pseudorefs/Dyak_CY13A.fasta	SS	kk
../pseudorefs/Dyak_CY17C.fasta	SS	jk
../pseudorefs/Dyak_CY21B3.fasta	IS	jn
../pseudorefs/Dyak_CY28.fasta	IS	kk
../pseudorefs/Dyak_NY141.fasta	SS	jj
../pseudorefs/Dyak_NY42.fasta	SS	jj
../pseudorefs/Dyak_NY48.fasta	II	jj
../pseudorefs/Dyak_NY56.fasta	SS	jj
../pseudorefs/Dyak_NY62.fasta	IS	jk
../pseudorefs/Dyak_NY65.fasta	II	jj
../pseudorefs/Dyak_NY66-2.fasta	II	kk
../pseudorefs/Dyak_NY73.fasta	II	jj
../pseudorefs/Dyak_NY81.fasta	SS	kk
../pseudorefs/Dyak_NY85.fasta	IS	jk
../pseudorefs/Dyak_R9b.fasta	SS	nn
